LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,0,5,2,16,0,11,0,5,2,0,7,2
Hindi,55,32,60,62,62,61,59,62,61,61,60,62,61
Chinese,1,7,0,2,24,3,33,4,16,15,21,24,10
Russian,14,24,10,10,50,16,55,11,24,19,14,56,46
Arabic,43,61,62,62,48,62,60,62,60,61,60,62,61
French,2,12,8,7,47,1,7,0,11,10,4,9,9
Nepali,56,32,61,62,62,61,61,61,60,61,61,62,61
Japanese,41,61,20,60,62,61,60,1,60,59,61,62,61
Ukrainian,17,28,8,12,46,15,56,9,8,23,20,54,44
Greek,39,58,46,60,57,59,49,50,57,29,59,50,43
Turkish,15,29,58,36,60,31,37,17,41,41,11,30,46
Swahili,52,32,36,51,51,42,42,39,37,48,49,22,33
Thai,60,61,61,62,62,62,61,61,61,61,61,62,29
